_id,designation,commonName,type,magnitude,size,distance,constellation,season,rightAscension,declination,catalog,otherCatalogs,imageResource,nightImageResource,logged,logDate,logTime,logLocation,telescope,eyepiece,seeing,transparency,favorite,findingMethod,viewingNotes
NULL,M1,Crab Nebula,Supernova Remnant,8.4,6' × 4',6:300 ly,Taurus,Winter,05h 34m 31.97s,+22° 00' 52.1\",Messier,NGC 1952: Sharpless 244,M1.gif,M1.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M2,NULL,Globular Cluster,7.5,16' × 16',37:500 ly,Aquarius,Fall,21h 33m 27s,-00° 49' 24\",Messier,NGC 7089,M2.gif,M2.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M3,NULL,Globular Cluster,7.0,18' × 18',33:900 ly,Canes Venatici,Spring,13h 42m 11.23s,+28° 22' 31.6\",Messier,NGC 5272,M3.gif,M3.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M4,NULL,Globular Cluster,7.5,36' × 36',7:200 ly,Scorpius,Summer,16h 23m 35.41s,-26° 31' 31.9\",Messier,NGC 6121,M4.gif,M4.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M5,NULL,Globular Cluster,6.7,23' × 23',24:500 ly,Serpens,Summer,15h 18m 33.75s,+02° 04' 57.7\",Messier,NGC 5904,M5.gif,M5.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M6,Butterfly Cluster,Open Cluster,4.2,25' × 25',1:600 ly,Scorpius,Summer,17h 40m 00s,-32° 13' 00\",Messier,NGC 6405: Collinder 341,M6.gif,M6.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M7,Ptolemy Cluster,Open Cluster,3.3,80' × 80',800 ly,Scorpius,Summer,17h 53m 58s,-34° 49' 00\",Messier,NGC 6475,M7.gif,M7.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M8,Lagoon Nebula,Emission Nebula,6.0,90' × 40',4:100 ly,Sagittarius,Summer,18h 03m 37s,-24° 23' 12\",Messier,NGC 6523,M8.gif,M8.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M9,NULL,Globular Cluster,8.4,12' x 12',25:800 ly,Ophiuchus,Summer,17h 19m 11.78s,-18° 30' 58.5\",Messier,NGC 6333,M9.gif,M9.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M10,NULL,Globular Cluster,6.4,20' x 20',14:300 ly,Ophiuchus,Summer,16h 57m 08.99s,-04° 05' 57.6\",Messier,NGC 6254,M10.gif,M10.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M11,Wild Duck Cluster,Open Cluster,6.3,14' x 14',6:200 ly,Scutum,Summer,18h 51m 00s,-06° 16' 00\",Messier,NGC 6705,M11.gif,M11.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M12,NULL,Globular Cluster,7.7,16' x 16',16:000 ly,Ophiuchus,Summer,16h 47m 14.52s,-01° 56' 52.1\",Messier,NGC 6218,M12.gif,M12.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M13,Hercules Cluster,Globular Cluster,5.8,20' x 20',25:100 ly,Hercules,Summer,16h 41m 41.44s,+36° 27' 36.9\",Messier,NGC 6205,M13.gif,M13.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M14,NULL,Globular Cluster,8.3,11' x 11',30:300 ly,Ophiuchus,Summer,17h 37m 36.15s,-03° 14' 45.3\",Messier,NGC 6402,M14.gif,M14.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M15,NULL,Globular Cluster,6.2,18' x 18',33:600 ly,Pegasus,Fall,21h 29m 58.38s,+12° 10' 00.6\",Messier,NGC 7078: GCI 120,M15.gif,M15.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M16,Eagle Nebula,Emission Nebula,6.0,7' x 7',7:000 ly,Serpens,Summer,18h 18m 48s,-13° 49' 00\",Messier,NGC 6611: Sharpless 49,M16.gif,M16.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M17,Omega Nebula: Swan Nebula,Emission Nebula,6.0,11' x 11',5:000 ly,Sagittarius,Summer,18h 20m 26s,-16° 10' 36\",Messier,NGC 6618: Sharpless 45,M17.gif,M17.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M18,NULL,Open Cluster,7.5,9' x 9',4:900 ly,Sagittarius,Summer,18h 19m 54s,-17° 08' 60\",Messier,NGC 6613,M18.gif,M18.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M19,NULL,Globular Cluster,7.5,17' x 17',28:000 ly,Ophiuchus,Summer,17h 02m 37.69s,-26° 16' 04.6\",Messier,NGC 6273,M19.gif,M19.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M20,Trifid Nebula,Emission Nebula,6.3,28' x 28',5:200 ly,Sagittarius,Summer,18h 02m 23s,-23° 01' 48\",Messier,NGC 6514: Sharpless 30,M20.gif,M20.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M21,NULL,Open Cluster,6.5,13' x 13',4:250 ly,Sagittarius,Summer,18h 04m 36s,-22° 30' 00\",Messier,NGC 6531,M21.gif,M21.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M22,Saggitarius Cluster,Globular Cluster,5.1,32' x 32',10:600 ly,Sagittarius,Summer,18h 36m 24.21s,-23° 54' 12.2\",Messier,NGC 6656,M22.gif,M22.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M23,NULL,Open Cluster,6.9,27' x 27',2:150 ly,Sagittarius,Summer,17h 56m 48s,-19° 01' 00\",Messier,NGC 6494,M23.gif,M23.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M24,Saggitarius Star Cloud,Milky Way Patch,4.6,90' x 90',10:000 ly,Sagittarius,Summer,18h 16m 30s,-18° 29' 00\",Messier,IC 4715,M24.gif,M24.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M25,NULL,Open Cluster,4.6,32' x 32',2:000 ly,Sagittarius,Summer,18h 31m 36s,-19° 15' 00\",Messier,IC 4725,M25.gif,M25.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M26,NULL,Open Cluster,8.0,15' x 15',5:000 ly,Scutum,Summer,18h 45m 12s,-09° 24' 00\",Messier,NGC 6694,M26.gif,M26.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M27,Dumbbell Nebula,Planetary Nebula,7.5,8' x 5.6',1:360 ly,Vulpecula,Fall,19h 59m 36.34s,+22° 43' 16.09\",Messier,NGC 6853,M27.gif,M27.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M28,NULL,Globular Cluster,7.7,11.2' x 11.2',18:300 ly,Sagittarius,Summer,18h 24m 32.89s,-24° 52' 11.4\",Messier,NGC 6626,M28.gif,M28.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M29,NULL,Open Cluster,7.1,7' x 7',4:000 ly,Cygnus,Fall,20h 23m 56s,+38° 31' 24\",Messier,NGC 6913,M29.gif,M29.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M30,NULL,Globular Cluster,7.7,11' x 11',29:400 ly,Capricornus,Fall,21h 40m 22.03s,-23° 10' 44.6\",Messier,NGC 7099,M30.gif,M30.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M31,Andromeda Galaxy,Spiral Galaxy,3.4,190' x 60',2.54 million ly,Andromeda,Winter,00h 42m 44.3s,+41° 16' 09\",Messier,NGC 224,M31.gif,M31.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M32,Satellit of Andromeda Galaxy,Dwarf Elliptical Galaxy,8.1,8.7' x 6.5',2.49 million ly,Andromeda,Winter,00h 42m 41.8s,+40° 51' 55\",Messier,NGC 221: Arp 1686,M32.gif,M32.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M33,Triangulum Galaxy,Spiral Galaxy,5.7,70.8' x 41.7',2.38 million ly,Triangulum,Winter,01h 33m 50.02s,+30° 39' 36.7\",Messier,NGC 598,M33.gif,M33.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M34,NULL,Open Cluster,5.5,35' x 35',1:500 ly,Perseus,Winter,02h 42m 06s,+42° 46' 00\",Messier,NGC 1039,M34.gif,M34.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M35,NULL,Open Cluster,5.3,28' x 28',2:800 ly,Gemini,Winter,06h 09m 06s,+24° 21' 00\",Messier,NGC 2168,M35.gif,M35.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M36,NULL,Open Cluster,6.3,12' x 12',4:100 ly,Auriga,Winter,05h 36m 12s,+34° 08' 04\",Messier,NGC 1960,M36.gif,M36.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M37,NULL,Open Cluster,6.2,24' x 24',4:511 ly,Auriga,Winter,05h 52m 18s,+32° 33' 02\",Messier,NGC 2099,M37.gif,M37.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M38,NULL,Open Cluster,7.4,21' x 21',4:200 ly,Auriga,Winter,05h 28m 42s,+35° 51' 18\",Messier,NGC 1912,M38.gif,M38.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M39,NULL,Open Cluster,5.5,32' x 32',800 ly,Cygnus,Fall,21h 32m 12s,+48° 26' 00\",Messier,NGC 7092,M39.gif,M39.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M40,Winnecke 4,Double Star,9.7,0.8' x .08',510 ly,Ursa Major,Spring,12h 22m 12.5s,+58° 04' 59\",Messier,NULL,M40.gif,M40.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M41,NULL,Open Cluster,4.5,38' x 38',2:300 ly,Canis Major,Winter,06h 46m 00s,-20° 46' 00\",Messier,NGC 2287,M41.gif,M41.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M42,Orion Nebula,Reflection/Emission Nebula,4.0,65' x 60',1:344 ly,Orion,Winter,05h 35m 17.3s,-05° 23' 28\",Messier,NGC 1976: Sharpless 281,M42.gif,M42.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M43,De Mairan's Nebula,Reflection/Emission Nebula,9.0,20' x 15',1:600 ly,Orion,Winter,05h 35m 36s,-05° 16' 00\",Messier,NGC 1982,M43.gif,M43.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M44,Beehive Cluster,Open Cluster,3.7,95' x 95',577 ly,Cancer,Spring,08h 40m 24s,+19° 41' 00\",Messier,NGC 2632,M44.gif,M44.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M45,Pleiades: Seven Sisters,Open Cluster,1.6,110' x 110',391 ly,Taurus,Winter,03h 47m 24s,+24° 07' 00\",Messier,NULL,M45.gif,M45.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M46,NULL,Open Cluster,6.1,27' x 27',5:400 ly,Puppis,Winter,07h 41m 48s,-14° 49' 00\",Messier,NGC 2437,M46.gif,M46.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M47,NULL,Open Cluster,4.2,30' x 30',1:600 ly,Puppis,Winter,07h 36m 36s,-14° 30' 00\",Messier,NGC 2422,M47.gif,M47.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M48,NULL,Open Cluster,5.5,54' x 54',1:500 ly,Hydra,Spring,08h 13m 42s,-05° 45' 00\",Messier,NGC 2548,M48.gif,M48.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M49,NULL,Elliptical Galaxy,9.4,10.2' x 8.3',55.9 million ly,Virgo,Spring,12h 29m 46.7s,+08° 00' 02\",Messier,NGC 4472: UGC 7629: Arp 134,M49.gif,M49.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M50,NULL,Open Cluster,5.9,16' x 16',3:200 ly,Monoceros,Winter,07h 03m 12s,-08° 20' 00\",Messier,NGC 2323,M50.gif,M50.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M51,Whirlpool Galaxy,Spiral Galaxy,8.4,11.2' x 6.9',23 million ly,Canes Venatici,Spring,13h 29m 52.7s,+47° 11' 43\",Messier,NGC 5194: NGC 5195: UGC 8493: Arp 85,M51.gif,M51.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M52,NULL,Open Cluster,5.0,13' x 13',5:000 ly,Cassiopeia,Winter,23h 24m 12s,+61° 35' 00\",Messier,NGC 7654,M52.gif,M52.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M53,NULL,Globular Cluster,8.3,13' x 13',58:000 ly,Coma Berenices,Spring,13h 12m 55.3s,+18° 10' 09\",Messier,NGC 5024,M53.gif,M53.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M54,NULL,Globular Cluster,8.4,12' x 12',87:400 ly,Sagittarius,Summer,18h 55m 03.28s,-30° 28' 42.6\",Messier,NGC 6715,M54.gif,M54.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
